epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.347,3.32882,4.05155,4.02996,0.00129,0.32791,0.00391,0.00059,3.84727,4.61829,4.19879,0.000544981,0.000544981,0.000544981
2,317.228,2.486,3.23276,3.23128,0.00342,0.70659,0.00603,0.00182,2.96031,4.00017,3.66704,0.00104617,0.00104617,0.00104617
3,469.031,2.20406,2.78687,2.79259,0.22203,0.51654,0.30903,0.11109,2.28856,3.97713,3.26961,0.00149234,0.00149234,0.00149234
4,620.523,1.96271,2.43112,2.56138,0.59631,0.4692,0.53784,0.3481,1.41604,2.83426,2.2866,0.00141945,0.00141945,0.00141945
5,785.384,1.72947,1.97829,2.31128,0.63866,0.6747,0.72293,0.44521,1.41294,1.7821,2.24633,0.00133693,0.00133693,0.00133693
6,952.179,1.55338,1.72732,2.15955,0.66066,0.69421,0.71137,0.48232,1.19786,1.71509,1.99583,0.00125442,0.00125442,0.00125442
7,1116.95,1.42439,1.52434,2.01728,0.81833,0.67871,0.86341,0.60752,1.13802,1.45729,1.9388,0.0011719,0.0011719,0.0011719
8,1281.83,1.31955,1.3929,1.9254,0.76556,0.74633,0.78888,0.52998,1.38929,1.45915,2.12633,0.00108938,0.00108938,0.00108938
9,1436.64,1.266,1.30698,1.85443,0.83028,0.77444,0.88276,0.63882,1.05178,1.17673,1.80134,0.00100687,0.00100687,0.00100687
10,1586.56,1.18248,1.15845,1.75867,0.8459,0.89646,0.9453,0.72042,0.91119,0.98992,1.66623,0.000924352,0.000924352,0.000924352
11,1730.93,1.05336,1.04081,1.64823,0.85842,0.89553,0.93055,0.72261,0.91749,0.96567,1.69293,0.000841835,0.000841835,0.000841835
12,1875.12,1.00808,0.96349,1.59767,0.95752,0.93824,0.97777,0.74586,0.91756,0.80866,1.6595,0.000759318,0.000759318,0.000759318
13,2031.92,0.97576,0.84406,1.54896,0.94488,0.91841,0.97005,0.75878,0.8813,0.79436,1.56742,0.000676802,0.000676802,0.000676802
14,2192.19,0.91385,0.77902,1.5027,0.98994,0.95287,0.98424,0.78777,0.78242,0.70296,1.47986,0.000594286,0.000594286,0.000594286
15,2352.99,0.87539,0.76467,1.46163,0.96693,0.92699,0.98111,0.78342,0.79783,0.69105,1.53818,0.000511769,0.000511769,0.000511769
16,2515.23,0.85675,0.72953,1.43174,0.94404,0.9419,0.98248,0.79131,0.79779,0.67267,1.52293,0.000429253,0.000429253,0.000429253
17,2677.01,0.81678,0.70577,1.41034,0.97255,0.95256,0.98536,0.81364,0.71799,0.60492,1.44874,0.000346736,0.000346736,0.000346736
18,2838.95,0.7965,0.67276,1.37586,0.9758,0.96747,0.98862,0.82637,0.69971,0.57011,1.38834,0.00026422,0.00026422,0.00026422
19,3003.04,0.75101,0.6352,1.33908,0.97913,0.95105,0.98839,0.83062,0.68109,0.54739,1.37274,0.000181703,0.000181703,0.000181703
20,3166.23,0.73772,0.62143,1.3255,0.98781,0.96995,0.98966,0.84282,0.63607,0.51051,1.31741,9.91865e-05,9.91865e-05,9.91865e-05
